"ID","Victim","CC_Fraud","Other_ID_Theft","Victim_Cat","Victim.Cat.Code","Date.of.Attack","Age","Dwelling","City_Rural","Computer","Tablet","Cell_Phone","HH_Income","No_of_CC","Social_Net","Social_Net_Acct","OL_Bank","Firewall","Malware.Present","Frequent.Traveler","Security_Clearance","Kids_in_HH","Tot_Kids","Secure_Hnet","Sess_Cnt_1mos","Cyber_Atks","No_Cyber_Atks_1mo"
295124580,1,0,1,"B",1,2015-02-05,38,"Apartment","City",1,0,1,"Low",1,1,"FB",0,1,0,0,1,1,3,0,98,1,25
345629920,0,0,0,"A",0,2015-02-05,43,"Apartment","City",1,1,1,"Low",1,0,"FB",0,1,0,0,1,1,2,0,99,1,29
353994200,1,0,1,"B",1,2015-02-05,43,"Apartment","City",1,1,1,"Low",1,1,"FB",1,1,1,1,1,0,0,1,100,1,36
386433150,1,1,0,"D",3,2015-02-05,76,"House","City",1,1,1,"High",4,1,"FB",0,0,1,0,0,0,0,0,0,0,0
429130870,0,0,0,"A",0,2015-02-05,74,"House","City",1,1,1,"Medium",4,0,"FB",1,1,0,1,1,0,0,1,100,1,32
474567872,0,0,0,"A",0,2015-02-05,74,"House","City",1,1,1,"Medium",4,0,"FB",0,1,0,0,1,0,0,1,99,1,29
477756660,0,0,0,"A",0,2015-02-05,47,"Apartment","Rural",1,0,0,"Medium",4,1,"FB",0,1,0,0,1,1,3,0,97,1,23
479059814,0,0,0,"A",0,2015-02-05,93,"Apartment","City",1,0,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,90,1,15
547499760,0,0,0,"A",0,2015-02-05,41,"Apartment","City",1,0,1,"Low",0,0,"FB",0,0,1,0,0,0,0,0,47,0,0
678280770,1,0,1,"C",2,2015-02-05,23,"Apartment","Rural",1,0,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,57,0,0
728818608,0,0,0,"A",0,2015-02-05,55,"Apartment","City",1,1,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,60,0,0
769487530,0,0,0,"A",0,2015-02-05,61,"Apartment","City",1,1,1,"Medium",4,0,"FB",1,1,1,1,1,0,0,1,100,1,37
827533967,0,0,0,"A",0,2015-02-05,85,"Apartment","City",1,0,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,91,1,16
892415260,0,0,0,"A",0,2015-02-05,85,"Apartment","City",1,0,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,79,0,0
892691610,0,0,0,"A",0,2015-02-05,33,"House","City",1,1,1,"Medium",4,1,"FB",0,1,0,0,1,1,3,0,98,1,25
897391720,1,0,1,"C",2,2015-02-05,33,"House","City",1,1,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,81,0,0
920423860,0,0,0,"A",0,2015-02-05,22,"House","City",1,1,1,"Medium",4,1,"LI",0,1,0,0,0,0,0,0,96,1,20
936413480,0,0,0,"A",0,2015-02-05,72,"House","City",1,1,1,"High",5,1,"LI",1,1,1,1,1,1,1,0,100,1,35
2179280,0,0,0,"A",0,2015-02-06,51,"Apartment","City",1,1,1,"Medium",4,1,"LI",0,1,0,0,0,0,0,0,0,0,0
110462322,0,0,0,"A",0,2015-02-06,72,"House","City",1,1,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,64,0,0
141650530,1,0,1,"B",1,2015-02-06,16,"Apartment","City",1,0,1,"Low",0,0,"FB",0,1,0,0,1,1,3,1,98,1,24
143855210,0,0,0,"A",0,2015-02-06,74,"Apartment","City",1,0,1,"Low",0,0,"FB",1,1,0,0,1,0,0,0,99,1,31
199906530,1,0,1,"C",2,2015-02-06,84,"Apartment","Rural",1,0,0,"Medium",4,1,"LI",0,1,0,0,1,0,0,1,99,1,27
214500840,0,0,0,"A",0,2015-02-06,69,"Apartment","Rural",1,0,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,74,0,0
222322960,0,0,0,"A",0,2015-02-06,71,"Apartment","City",1,1,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,0,0,0
224410990,1,0,1,"B",1,2015-02-06,22,"Apartment","Rural",1,0,1,"Low",0,1,"FB",0,1,0,0,1,1,3,0,99,1,26
259689480,1,0,1,"B",1,2015-02-06,38,"Apartment","City",1,0,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,86,1,13
305830160,0,0,0,"A",0,2015-02-06,11,"Apartment","City",1,0,1,"Low",0,0,"FB",0,1,0,0,1,1,2,0,99,1,28
307909510,0,0,0,"A",0,2015-02-06,52,"Apartment","City",1,0,1,"Low",0,0,"FB",0,0,1,0,0,0,0,0,54,0,0
311841350,1,0,1,"B",1,2015-02-06,31,"Apartment","City",1,0,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,80,0,0
336444670,0,0,0,"A",0,2015-02-06,74,"Apartment","City",1,0,1,"Low",0,0,"FB",0,0,1,0,0,0,0,0,90,1,15
357797150,0,0,0,"A",0,2015-02-06,57,"House","City",1,1,1,"Medium",4,1,"LI",0,0,1,0,0,0,0,0,87,1,14
390094886,0,0,0,"A",0,2015-02-06,97,"House","City",1,1,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,0,0,0
513452400,1,0,1,"D",3,2015-02-06,97,"House","City",1,1,1,"High",5,1,"FB",1,1,1,1,1,0,0,0,100,1,32
536221746,0,0,0,"A",0,2015-02-06,54,"Apartment","Rural",1,0,1,"Medium",4,0,"FB",1,1,1,1,1,0,0,1,100,1,38
574012380,0,0,0,"A",0,2015-02-06,48,"House","City",1,1,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,92,1,17
585411053,0,0,0,"A",0,2015-02-06,91,"Apartment","Rural",1,0,1,"Low",1,0,"FB",1,1,1,1,1,1,1,0,100,1,34
695525230,1,1,0,"B",1,2015-02-06,72,"Apartment","City",1,1,1,"Low",0,1,"FB",0,1,0,0,1,1,3,1,97,1,23
704361180,0,0,0,"A",0,2015-02-06,82,"Apartment","City",1,0,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,9,0,0
707441368,0,0,0,"A",0,2015-02-06,97,"House","City",1,1,1,"High",5,1,"FB",0,0,1,0,0,0,0,0,71,0,0
738797210,1,1,0,"B",1,2015-02-06,15,"Apartment","City",1,1,1,"Low",0,1,"FB",1,1,0,1,1,0,0,0,100,1,32
798547960,1,0,1,"C",2,2015-02-06,64,"Apartment","Rural",1,0,0,"Medium",4,1,"FB",1,1,1,1,1,1,1,0,100,1,39
875799145,0,0,0,"A",0,2015-02-06,11,"House","City",1,1,1,"Medium",4,1,"FB",0,1,0,0,1,0,0,0,99,1,26
886148050,1,0,1,"B",1,2015-02-06,27,"Apartment","Rural",1,0,1,"Low",0,1,"FB",0,0,1,0,0,0,0,0,27,0,0
908130960,1,0,1,"B",1,2015-02-06,88,"Apartment","City",1,0,1,"Low",0,0,"FB",0,0,1,0,0,0,0,0,58,0,0
917018175,0,0,0,"A",0,2015-02-06,57,"House","City",1,1,1,"Medium",4,1,"LI",0,1,0,0,1,1,2,0,99,1,30
946403010,0,0,0,"A",0,2015-02-06,72,"House","City",1,1,1,"Medium",4,1,"FB",1,1,0,0,1,1,2,0,99,1,31
948333650,0,0,0,"A",0,2015-02-06,16,"House","City",1,1,1,"Medium",4,1,"LI",1,1,1,1,1,1,1,0,100,1,36
979964089,1,1,0,"B",1,2015-02-06,11,"Apartment","City",1,1,1,"Low",1,1,"FB",0,1,1,0,0,0,0,0,0,0,0
981302660,0,0,0,"A",0,2015-02-06,91,"Apartment","Rural",1,0,1,"Low",1,1,"FB",0,1,0,0,0,0,0,0,97,1,22
2529861,0,0,0,"A",0,2015-02-07,43,"Apartment","City",1,0,1,"Medium",4,1,"FB",0,1,0,0,0,0,0,0,0,0,0
5565264,1,1,0,"B",1,2015-02-07,47,"Apartment","City",1,1,1,"Low",0,1,"FB",0,1,0,0,0,0,0,0,58,0,0
183945290,0,0,0,"A",0,2015-02-07,62,"Apartment","City",1,1,1,"Medium",4,1,"FB",1,1,1,1,1,1,1,0,100,1,38
242370240,0,0,0,"A",0,2015-02-07,47,"House","City",1,1,1,"Medium",4,1,"LI",0,1,0,0,0,0,0,1,96,1,20
243634510,1,0,1,"C",2,2015-02-07,26,"Apartment","City",1,0,1,"Medium",4,1,"LI",0,1,0,0,1,1,3,0,98,1,25
251474470,1,0,1,"B",1,2015-02-07,84,"Apartment","Rural",1,0,1,"Low",1,0,"FB",1,1,0,0,1,0,0,1,99,1,30
289947380,1,0,1,"C",2,2015-02-07,91,"Apartment","Rural",1,0,1,"Medium",4,0,"FB",0,1,0,0,1,0,0,0,95,1,19
291374670,1,1,0,"B",1,2015-02-07,21,"Apartment","Rural",1,0,1,"Low",1,1,"FB",0,1,0,0,0,0,0,0,95,1,20
299658109,0,0,0,"A",0,2015-02-07,14,"House","City",1,1,1,"Medium",4,1,"LI",1,0,1,0,0,0,0,0,99,1,30
301773520,0,0,0,"A",0,2015-02-07,75,"House","City",1,1,1,"Medium",4,1,"FB",1,1,1,1,1,0,0,0,100,1,33
313833720,1,0,1,"B",1,2015-02-07,52,"Apartment","City",1,0,1,"Low",0,0,"FB",0,0,1,0,0,0,0,0,98,1,25
314996000,0,0,0,"A",0,2015-02-07,79,"House","City",1,1,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,99,1,28
371322134,0,0,0,"A",0,2015-02-07,75,"House","City",1,1,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,0,0,0
433784460,1,1,0,"B",1,2015-02-07,53,"Apartment","Rural",1,0,0,"Low",1,1,"FB",0,1,1,1,1,1,1,0,99,1,27
504951450,0,0,0,"A",0,2015-02-07,91,"Apartment","Rural",1,0,1,"Medium",4,0,"FB",1,0,1,0,0,0,0,0,100,1,36
545203280,0,0,0,"A",0,2015-02-07,47,"House","City",1,1,1,"Medium",4,1,"LI",0,0,1,0,0,0,0,0,46,0,0
583013569,0,0,0,"A",0,2015-02-07,44,"Apartment","Rural",1,0,1,"Medium",4,1,"LI",1,0,1,0,0,0,0,0,100,1,37
591855420,0,0,0,"A",0,2015-02-07,42,"Apartment","City",1,1,1,"Low",0,1,"FB",0,1,0,0,0,0,0,0,31,0,0
615589660,1,0,1,"D",3,2015-02-07,58,"House","City",1,1,1,"High",5,1,"FB",0,1,0,0,1,0,0,0,99,1,27
637281480,1,0,1,"C",2,2015-02-07,56,"Apartment","Rural",1,0,0,"Medium",4,1,"FB",0,1,0,0,0,0,0,0,0,0,0
640203640,0,0,0,"A",0,2015-02-07,69,"House","City",1,1,1,"Medium",4,0,"FB",0,0,1,0,0,0,0,0,0,0,0
689182229,1,1,0,"C",2,2015-02-07,35,"Apartment","Rural",1,0,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,62,0,0
709887448,0,0,0,"A",0,2015-02-07,87,"House","City",1,1,1,"High",4,0,"FB",0,1,1,1,1,0,0,0,0,0,0
768420650,0,0,0,"A",0,2015-02-07,99,"Apartment","City",1,0,1,"Low",0,1,"FB",1,1,0,0,1,1,2,0,100,1,35
777729275,0,0,0,"A",0,2015-02-07,53,"Apartment","Rural",1,0,0,"Low",1,0,"FB",0,0,1,0,0,0,0,0,0,0,0
800962571,1,1,0,"C",2,2015-02-07,33,"House","City",1,1,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,87,1,13
824180883,0,0,0,"A",0,2015-02-07,47,"Apartment","City",1,1,1,"Low",0,1,"FB",0,0,1,0,0,0,0,0,99,1,29
841019880,1,1,0,"B",1,2015-02-07,69,"Apartment","City",1,0,1,"Low",0,0,"FB",1,0,1,0,0,0,0,0,100,1,34
881200870,1,1,0,"B",1,2015-02-07,33,"Apartment","City",1,1,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,0,0,0
919295920,0,0,0,"A",0,2015-02-07,13,"House","City",1,1,1,"Medium",4,0,"FB",1,1,0,1,1,1,2,0,100,1,39
926169490,0,0,0,"A",0,2015-02-07,12,"Apartment","City",1,0,1,"Low",1,0,"FB",0,0,1,0,0,0,0,0,92,1,17
979463646,0,0,0,"A",0,2015-02-07,68,"Apartment","Rural",1,0,1,"Low",0,1,"FB",0,1,1,0,0,1,1,0,0,0,0
274062,0,0,0,"A",0,2015-02-08,14,"House","City",1,1,1,"Medium",4,1,"FB",1,1,1,1,1,1,1,0,100,1,34
1669342,1,1,0,"D",3,2015-02-08,87,"House","City",1,1,1,"High",4,0,"FB",0,0,1,0,0,0,0,0,0,0,0
2662710,0,0,0,"A",0,2015-02-08,75,"House","City",1,1,1,"Medium",4,0,"FB",1,1,1,1,1,0,0,0,100,1,34
5575013,1,0,1,"C",2,2015-02-08,87,"Apartment","Rural",1,0,1,"Medium",4,0,"FB",0,0,1,0,0,0,0,0,0,0,0
107146932,0,0,0,"A",0,2015-02-08,13,"Apartment","City",1,0,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,93,1,17
116942879,0,0,0,"A",0,2015-02-08,57,"Apartment","Rural",1,0,1,"Low",0,1,"FB",1,1,0,0,1,1,3,0,100,1,33
147435790,1,0,1,"D",3,2015-02-08,17,"House","City",1,1,1,"High",5,1,"FB",0,1,0,0,0,0,0,0,0,0,0
213647230,1,1,0,"B",1,2015-02-08,42,"Apartment","City",1,1,1,"Low",0,1,"FB",0,0,1,0,0,0,0,0,97,1,23
216071090,0,0,0,"A",0,2015-02-08,37,"Apartment","City",1,1,1,"Medium",4,1,"FB",1,1,0,0,1,1,3,0,100,1,38
261475520,0,0,0,"A",0,2015-02-08,33,"Apartment","Rural",0,0,0,"Low",0,1,"FB",0,1,0,0,0,1,3,0,0,0,0
273903870,1,1,0,"B",1,2015-02-08,32,"Apartment","Rural",1,0,0,"Low",0,1,"FB",0,1,1,1,1,1,1,0,94,1,18
292482060,0,0,0,"A",0,2015-02-08,68,"House","City",1,1,1,"Medium",4,0,"FB",0,0,1,0,0,0,0,0,94,1,18
343911220,0,0,0,"A",0,2015-02-08,31,"Apartment","City",1,0,1,"Medium",4,1,"FB",1,1,1,1,1,0,0,0,100,1,32
347803000,1,0,1,"D",3,2015-02-08,17,"House","City",1,1,1,"High",5,1,"FB",0,1,1,1,1,0,0,0,88,1,14
421455780,1,1,0,"B",1,2015-02-08,59,"Apartment","City",1,0,1,"Low",0,1,"FB",1,1,0,0,1,1,2,0,99,1,30
441789089,1,0,1,"C",2,2015-02-08,14,"House","City",1,1,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,50,0,0
442802004,1,0,1,"B",1,2015-02-08,15,"Apartment","City",1,0,1,"Low",0,1,"FB",0,1,1,1,1,0,0,0,0,0,0
457718549,0,0,0,"A",0,2015-02-08,73,"Apartment","City",1,1,1,"Low",1,0,"FB",0,1,0,0,0,0,0,0,80,0,0
492366480,0,0,0,"A",0,2015-02-08,80,"Apartment","Rural",1,0,1,"Low",0,1,"FB",0,1,1,1,1,0,0,0,99,1,27
612331000,1,0,1,"C",2,2015-02-08,83,"Apartment","Rural",1,0,1,"Medium",4,1,"LI",0,1,0,0,0,1,3,0,0,0,0
641667370,1,1,0,"B",1,2015-02-08,53,"Apartment","City",1,1,1,"Low",0,1,"FB",0,1,1,1,1,0,0,0,87,1,14
658265840,0,0,0,"A",0,2015-02-08,36,"Apartment","Rural",1,0,1,"Low",0,0,"FB",1,1,0,1,1,1,2,0,100,1,37
750321790,1,0,1,"B",1,2015-02-08,13,"Apartment","Rural",1,0,0,"Low",1,1,"FB",1,1,0,0,0,0,0,0,100,1,33
777585610,0,0,0,"A",0,2015-02-08,23,"Apartment","City",1,0,1,"Low",0,0,"FB",0,1,0,0,0,0,0,0,87,1,14
790483970,0,0,0,"A",0,2015-02-08,31,"Apartment","City",1,1,1,"Medium",4,1,"FB",1,1,1,1,1,0,0,0,100,1,34
802532980,0,0,0,"A",0,2015-02-08,66,"Apartment","City",1,1,1,"Low",1,0,"FB",0,1,0,0,1,0,0,0,87,1,14
803349993,0,0,0,"A",0,2015-02-08,65,"House","City",1,1,1,"Medium",4,1,"FB",1,0,1,0,0,0,0,0,100,1,37
