ID,Victim,CC_Fraud,Other_ID_Theft,Victim_Cat,Victim Cat Code,Date of Attack,Age,Dwelling,City_Rural,Computer,Tablet,Cell_Phone,HH_Income,No_of_CC,Social_Net,Social_Net_Acct,OL_Bank,Firewall,Malware Present,Frequent-Traveler,Security_Clearance,Kids_in_HH,Tot_Kids,Secure_Hnet,Sess_Cnt_1mos,Cyber_Atks,No_Cyber_Atks_1mo
508193670,1,1,0,D,3,2/3/2015,65,House,City,Yes,Yes,Yes,High,4,Yes,FB,0,0,1,0,0,0,0,0,0,0,0
517750320,0,0,0,A,0,2/3/2015,84,Apartment,City,Yes,Yes,Yes,Medium,4,No,FB,0,0,1,0,0,0,0,0,65,0,0
542274910,0,0,0,A,0,2/3/2015,100,Apartment,City,Yes,No,Yes,Low,0,Yes,FB,0,1,0,0,1,1,3,0,99,1,27
557331520,0,0,0,A,0,2/3/2015,61,Apartment,City,Yes,No,Yes,Medium,4,Yes,LI,1,1,0,0,1,1,2,0,100,1,34
596781690,0,0,0,A,0,2/3/2015,20,Apartment,City,Yes,No,Yes,Medium,4,Yes,LI,0,1,0,0,0,0,0,0,95,1,20
647764028,0,0,0,A,0,2/3/2015,65,House,City,Yes,Yes,Yes,High,4,Yes,FB,0,1,1,1,1,1,1,0,0,0,0
779106600,0,0,0,A,0,2/3/2015,59,Apartment,City,Yes,Yes,Yes,Low,1,Yes,FB,0,1,0,0,1,1,3,0,98,1,25
813983019,0,0,0,A,0,2/3/2015,100,Apartment,City,Yes,No,Yes,Low,0,Yes,FB,0,0,1,0,0,0,0,0,0,0,0
830788780,1,1,0,B,1,2/3/2015,50,Apartment,City,Yes,Yes,Yes,Low,1,Yes,FB,1,1,1,1,1,0,0,1,100,1,37
851453903,1,1,0,C,2,2/3/2015,16,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,87,1,13
851906444,0,0,0,A,0,2/3/2015,76,Apartment,City,Yes,No,Yes,Medium,4,Yes,LI,0,0,1,0,0,0,0,0,0,0,0
852796800,0,0,0,A,0,2/3/2015,27,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,1,1,0,0,1,0,0,0,100,1,32
877114991,1,1,0,B,1,2/3/2015,31,Apartment,City,Yes,Yes,Yes,Low,1,No,FB,1,1,0,1,1,1,2,0,100,1,33
913354104,0,0,0,A,0,2/3/2015,89,House,City,Yes,Yes,Yes,High,4,Yes,FB,1,1,0,0,1,1,2,0,99,1,30
940718190,1,1,0,C,2,2/3/2015,29,Apartment,Rural,Yes,No,Yes,Medium,4,No,FB,1,1,1,1,1,0,0,1,100,1,33
960476770,0,0,0,A,0,2/3/2015,22,House,City,Yes,Yes,Yes,Medium,4,No,FB,0,0,1,0,0,0,0,0,84,1,12
991824560,1,0,1,B,1,2/3/2015,34,Apartment,City,Yes,No,Yes,Low,1,No,FB,0,1,1,1,1,0,0,0,0,0,0
002655307,1,1,0,B,1,2/4/2015,13,Apartment,Rural,Yes,No,No,Low,0,No,FB,0,0,1,0,0,0,0,0,57,0,0
122698110,0,0,0,A,0,2/4/2015,34,Apartment,City,Yes,Yes,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,27,0,0
147619550,0,0,0,A,0,2/4/2015,66,Apartment,City,Yes,No,Yes,Medium,4,Yes,FB,1,1,1,1,1,1,1,0,100,1,37
157806720,0,0,0,A,0,2/4/2015,21,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,1,0,0,0,0,0,0,0,0,0
177459980,1,0,1,B,1,2/4/2015,13,Apartment,Rural,Yes,No,No,Low,0,No,FB,0,1,0,0,1,0,0,1,97,1,23
179912390,1,0,1,D,3,2/4/2015,23,House,City,Yes,Yes,Yes,High,4,No,FB,1,1,1,1,1,0,0,1,100,1,38
187802150,1,0,1,D,3,2/4/2015,23,House,City,Yes,Yes,Yes,High,4,No,FB,0,0,1,0,0,0,0,0,53,0,0
199600626,0,0,0,A,0,2/4/2015,16,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,1,1,1,1,1,0,0,0,100,1,36
212910110,1,1,0,B,1,2/4/2015,71,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,0,1,0,0,1,1,2,1,99,1,28
226838480,1,0,1,B,1,2/4/2015,25,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,0,1,0,0,0,0,0,1,94,1,19
243462800,1,0,1,B,1,2/4/2015,84,Apartment,Rural,Yes,No,No,Low,1,Yes,FB,0,1,0,1,1,1,2,0,0,0,0
341781105,0,0,0,A,0,2/4/2015,63,Apartment,City,Yes,Yes,Yes,Low,0,No,NA,0,1,0,0,1,0,0,1,97,1,23
406677440,1,0,1,C,2,2/4/2015,18,Apartment,Rural,Yes,No,Yes,Medium,4,Yes,FB,1,1,0,0,1,0,0,1,99,1,30
437791349,0,0,0,A,0,2/4/2015,90,House,City,Yes,Yes,Yes,Medium,4,Yes,LI,1,1,0,1,1,1,2,0,100,1,33
472946460,1,1,0,D,3,2/4/2015,47,House,City,Yes,Yes,Yes,High,4,Yes,FB,0,1,0,0,1,1,2,0,99,1,28
536289905,0,0,0,A,0,2/4/2015,43,Apartment,Rural,Yes,No,Yes,Medium,4,No,FB,0,0,1,0,0,0,0,0,93,1,17
540659540,1,1,0,B,1,2/4/2015,14,Apartment,Rural,Yes,No,Yes,Low,0,Yes,FB,1,1,1,1,1,1,1,0,100,1,35
569227830,0,0,0,A,0,2/4/2015,62,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,23,0,0
573034710,0,0,0,A,0,2/4/2015,44,Apartment,City,Yes,No,Yes,Medium,4,Yes,FB,1,1,0,1,1,0,0,0,99,1,30
636726700,1,0,1,B,1,2/4/2015,25,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,45,0,0
641319350,0,0,0,A,0,2/4/2015,89,Apartment,City,Yes,No,Yes,Low,1,Yes,FB,1,1,1,1,1,1,1,0,100,1,37
664338620,1,0,1,B,1,2/4/2015,63,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,1,0,0,1,1,3,0,97,1,22
672048990,0,0,0,A,0,2/4/2015,23,Apartment,City,Yes,No,Yes,Low,0,No,NA,0,1,0,0,0,0,0,1,97,1,21
699747070,0,0,0,A,0,2/4/2015,66,Apartment,City,Yes,No,Yes,Medium,4,Yes,FB,0,1,0,0,0,0,0,0,0,0,0
721844600,1,1,0,B,1,2/4/2015,47,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,1,1,0,0,1,0,0,0,99,1,30
766567326,1,1,0,B,1,2/4/2015,14,Apartment,Rural,Yes,No,Yes,Low,0,Yes,FB,1,1,1,1,1,0,0,1,100,1,34
786706800,0,0,0,A,0,2/4/2015,94,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,1,1,1,1,1,0,0,1,100,1,35
792002050,0,0,0,A,0,2/4/2015,42,Apartment,City,Yes,No,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,27,0,0
819179260,1,0,1,B,1,2/4/2015,67,Apartment,City,Yes,No,Yes,Low,1,Yes,FB,0,1,0,0,1,0,0,1,99,1,28
889998940,1,0,1,B,1,2/4/2015,66,Apartment,Rural,Yes,No,Yes,Low,0,No,FB,0,0,1,0,0,0,0,0,80,0,0
957132960,0,0,0,A,0,2/4/2015,59,House,City,Yes,Yes,Yes,High,5,No,FB,0,1,0,0,0,1,2,0,0,0,0
963159930,1,0,1,B,1,2/4/2015,26,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,1,1,0,1,1,0,0,1,100,1,33
001269519,1,1,0,B,1,2/5/2015,46,Apartment,City,Yes,No,Yes,Low,1,Yes,FB,0,1,0,0,1,0,0,1,99,1,29
001391860,0,0,0,A,0,2/5/2015,18,Apartment,City,Yes,No,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,0,0,0
002445030,0,0,0,A,0,2/5/2015,18,House,City,Yes,Yes,Yes,Medium,4,Yes,LI,1,1,1,1,1,0,0,1,100,1,39
010000845,0,0,0,A,0,2/5/2015,38,House,City,Yes,Yes,Yes,Medium,4,No,FB,1,1,0,1,1,1,2,0,100,1,33
012258381,1,1,0,B,1,2/5/2015,19,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,1,0,0,0,0,0,1,96,1,20
012308504,0,0,0,A,0,2/5/2015,16,Apartment,City,Yes,Yes,Yes,Low,1,Yes,FB,0,1,1,1,1,1,1,0,0,0,0
114156833,0,0,0,A,0,2/5/2015,46,Apartment,City,Yes,No,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,41,0,0
114370644,0,0,0,A,0,2/5/2015,78,Apartment,Rural,Yes,No,No,Medium,4,No,FB,0,0,1,0,0,0,0,0,75,0,0
151396460,0,0,0,A,0,2/5/2015,25,Apartment,City,Yes,Yes,Yes,Medium,4,Yes,LI,0,0,1,0,0,0,0,0,78,0,0
169029329,0,0,0,A,0,2/5/2015,83,Apartment,Rural,Yes,No,Yes,Low,1,No,NA,1,1,0,1,1,0,0,1,100,1,32
198964710,1,0,1,B,1,2/5/2015,14,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,1,0,0,1,0,0,0,97,1,23
223253510,0,0,0,A,0,2/5/2015,90,House,City,Yes,Yes,Yes,Medium,4,Yes,LI,0,1,1,1,1,0,0,0,0,0,0
274071980,0,0,0,A,0,2/5/2015,86,Apartment,Rural,Yes,No,Yes,Low,0,Yes,FB,0,0,1,0,0,0,0,0,83,1,12
285564410,0,0,0,A,0,2/5/2015,27,Apartment,City,Yes,Yes,Yes,Medium,4,No,FB,0,0,1,0,0,0,0,0,91,1,16
295124580,1,0,1,B,1,2/5/2015,38,Apartment,City,Yes,No,Yes,Low,1,Yes,FB,0,1,0,0,1,1,3,0,98,1,25
345629920,0,0,0,A,0,2/5/2015,43,Apartment,City,Yes,Yes,Yes,Low,1,No,NA,0,1,0,0,1,1,2,0,99,1,29
353994200,1,0,1,B,1,2/5/2015,43,Apartment,City,Yes,Yes,Yes,Low,1,Yes,FB,1,1,1,1,1,0,0,1,100,1,36
386433150,1,1,0,D,3,2/5/2015,76,House,City,Yes,Yes,Yes,High,4,Yes,FB,0,0,1,0,0,0,0,0,0,0,0
429130870,0,0,0,A,0,2/5/2015,74,House,City,Yes,Yes,Yes,Medium,4,No,FB,1,1,0,1,1,0,0,1,100,1,32
474567872,0,0,0,A,0,2/5/2015,74,House,City,Yes,Yes,Yes,Medium,4,No,FB,0,1,0,0,1,0,0,1,99,1,29
477756660,0,0,0,A,0,2/5/2015,47,Apartment,Rural,Yes,No,No,Medium,4,Yes,FB,0,1,0,0,1,1,3,0,97,1,23
479059814,0,0,0,A,0,2/5/2015,93,Apartment,City,Yes,No,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,90,1,15
547499760,0,0,0,A,0,2/5/2015,41,Apartment,City,Yes,No,Yes,Low,0,No,NA,0,0,1,0,0,0,0,0,47,0,0
678280770,1,0,1,C,2,2/5/2015,23,Apartment,Rural,Yes,No,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,57,0,0
728818608,0,0,0,A,0,2/5/2015,55,Apartment,City,Yes,Yes,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,60,0,0
769487530,0,0,0,A,0,2/5/2015,61,Apartment,City,Yes,Yes,Yes,Medium,4,No,FB,1,1,1,1,1,0,0,1,100,1,37
827533967,0,0,0,A,0,2/5/2015,85,Apartment,City,Yes,No,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,91,1,16
892415260,0,0,0,A,0,2/5/2015,85,Apartment,City,Yes,No,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,79,0,0
892691610,0,0,0,A,0,2/5/2015,33,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,1,0,0,1,1,3,0,98,1,25
897391720,1,0,1,C,2,2/5/2015,33,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,81,0,0
920423860,0,0,0,A,0,2/5/2015,22,House,City,Yes,Yes,Yes,Medium,4,Yes,LI,0,1,0,0,0,0,0,0,96,1,20
936413480,0,0,0,A,0,2/5/2015,72,House,City,Yes,Yes,Yes,High,5,Yes,LI,1,1,1,1,1,1,1,0,100,1,35
002179280,0,0,0,A,0,2/6/2015,51,Apartment,City,Yes,Yes,Yes,Medium,4,Yes,LI,0,1,0,0,0,0,0,0,0,0,0
110462322,0,0,0,A,0,2/6/2015,72,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,64,0,0
141650530,1,0,1,B,1,2/6/2015,16,Apartment,City,Yes,No,Yes,Low,0,No,FB,0,1,0,0,1,1,3,1,98,1,24
143855210,0,0,0,A,0,2/6/2015,74,Apartment,City,Yes,No,Yes,Low,0,No,NA,1,1,0,0,1,0,0,0,99,1,31
199906530,1,0,1,C,2,2/6/2015,84,Apartment,Rural,Yes,No,No,Medium,4,Yes,LI,0,1,0,0,1,0,0,1,99,1,27
214500840,0,0,0,A,0,2/6/2015,69,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,74,0,0
222322960,0,0,0,A,0,2/6/2015,71,Apartment,City,Yes,Yes,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,0,0,0
224410990,1,0,1,B,1,2/6/2015,22,Apartment,Rural,Yes,No,Yes,Low,0,Yes,FB,0,1,0,0,1,1,3,0,99,1,26
259689480,1,0,1,B,1,2/6/2015,38,Apartment,City,Yes,No,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,86,1,13
305830160,0,0,0,A,0,2/6/2015,11,Apartment,City,Yes,No,Yes,Low,0,No,NA,0,1,0,0,1,1,2,0,99,1,28
307909510,0,0,0,A,0,2/6/2015,52,Apartment,City,Yes,No,Yes,Low,0,No,NA,0,0,1,0,0,0,0,0,54,0,0
311841350,1,0,1,B,1,2/6/2015,31,Apartment,City,Yes,No,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,80,0,0
336444670,0,0,0,A,0,2/6/2015,74,Apartment,City,Yes,No,Yes,Low,0,No,NA,0,0,1,0,0,0,0,0,90,1,15
357797150,0,0,0,A,0,2/6/2015,57,House,City,Yes,Yes,Yes,Medium,4,Yes,LI,0,0,1,0,0,0,0,0,87,1,14
390094886,0,0,0,A,0,2/6/2015,97,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,0,0,0
513452400,1,0,1,D,3,2/6/2015,97,House,City,Yes,Yes,Yes,High,5,Yes,FB,1,1,1,1,1,0,0,0,100,1,32
536221746,0,0,0,A,0,2/6/2015,54,Apartment,Rural,Yes,No,Yes,Medium,4,No,FB,1,1,1,1,1,0,0,1,100,1,38
574012380,0,0,0,A,0,2/6/2015,48,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,92,1,17
585411053,0,0,0,A,0,2/6/2015,91,Apartment,Rural,Yes,No,Yes,Low,1,No,NA,1,1,1,1,1,1,1,0,100,1,34
695525230,1,1,0,B,1,2/6/2015,72,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,1,0,0,1,1,3,1,97,1,23
704361180,0,0,0,A,0,2/6/2015,82,Apartment,City,Yes,No,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,9,0,0
707441368,0,0,0,A,0,2/6/2015,97,House,City,Yes,Yes,Yes,High,5,Yes,FB,0,0,1,0,0,0,0,0,71,0,0
738797210,1,1,0,B,1,2/6/2015,15,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,1,1,0,1,1,0,0,0,100,1,32
798547960,1,0,1,C,2,2/6/2015,64,Apartment,Rural,Yes,No,No,Medium,4,Yes,FB,1,1,1,1,1,1,1,0,100,1,39
875799145,0,0,0,A,0,2/6/2015,11,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,1,0,0,1,0,0,0,99,1,26
886148050,1,0,1,B,1,2/6/2015,27,Apartment,Rural,Yes,No,Yes,Low,0,Yes,FB,0,0,1,0,0,0,0,0,27,0,0
908130960,1,0,1,B,1,2/6/2015,88,Apartment,City,Yes,No,Yes,Low,0,No,FB,0,0,1,0,0,0,0,0,58,0,0
917018175,0,0,0,A,0,2/6/2015,57,House,City,Yes,Yes,Yes,Medium,4,Yes,LI,0,1,0,0,1,1,2,0,99,1,30
946403010,0,0,0,A,0,2/6/2015,72,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,1,1,0,0,1,1,2,0,99,1,31
948333650,0,0,0,A,0,2/6/2015,16,House,City,Yes,Yes,Yes,Medium,4,Yes,LI,1,1,1,1,1,1,1,0,100,1,36
979964089,1,1,0,B,1,2/6/2015,11,Apartment,City,Yes,Yes,Yes,Low,1,Yes,FB,0,1,1,0,0,0,0,0,0,0,0
981302660,0,0,0,A,0,2/6/2015,91,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,0,1,0,0,0,0,0,0,97,1,22
002529861,0,0,0,A,0,2/7/2015,43,Apartment,City,Yes,No,Yes,Medium,4,Yes,FB,0,1,0,0,0,0,0,0,0,0,0
005565264,1,1,0,B,1,2/7/2015,47,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,1,0,0,0,0,0,0,58,0,0
183945290,0,0,0,A,0,2/7/2015,62,Apartment,City,Yes,Yes,Yes,Medium,4,Yes,FB,1,1,1,1,1,1,1,0,100,1,38
242370240,0,0,0,A,0,2/7/2015,47,House,City,Yes,Yes,Yes,Medium,4,Yes,LI,0,1,0,0,0,0,0,1,96,1,20
243634510,1,0,1,C,2,2/7/2015,26,Apartment,City,Yes,No,Yes,Medium,4,Yes,LI,0,1,0,0,1,1,3,0,98,1,25
251474470,1,0,1,B,1,2/7/2015,84,Apartment,Rural,Yes,No,Yes,Low,1,No,FB,1,1,0,0,1,0,0,1,99,1,30
289947380,1,0,1,C,2,2/7/2015,91,Apartment,Rural,Yes,No,Yes,Medium,4,No,FB,0,1,0,0,1,0,0,0,95,1,19
291374670,1,1,0,B,1,2/7/2015,21,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,0,1,0,0,0,0,0,0,95,1,20
299658109,0,0,0,A,0,2/7/2015,14,House,City,Yes,Yes,Yes,Medium,4,Yes,LI,1,0,1,0,0,0,0,0,99,1,30
301773520,0,0,0,A,0,2/7/2015,75,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,1,1,1,1,1,0,0,0,100,1,33
313833720,1,0,1,B,1,2/7/2015,52,Apartment,City,Yes,No,Yes,Low,0,No,FB,0,0,1,0,0,0,0,0,98,1,25
314996000,0,0,0,A,0,2/7/2015,79,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,99,1,28
371322134,0,0,0,A,0,2/7/2015,75,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,0,0,0
433784460,1,1,0,B,1,2/7/2015,53,Apartment,Rural,Yes,No,No,Low,1,Yes,FB,0,1,1,1,1,1,1,0,99,1,27
504951450,0,0,0,A,0,2/7/2015,91,Apartment,Rural,Yes,No,Yes,Medium,4,No,FB,1,0,1,0,0,0,0,0,100,1,36
545203280,0,0,0,A,0,2/7/2015,47,House,City,Yes,Yes,Yes,Medium,4,Yes,LI,0,0,1,0,0,0,0,0,46,0,0
583013569,0,0,0,A,0,2/7/2015,44,Apartment,Rural,Yes,No,Yes,Medium,4,Yes,LI,1,0,1,0,0,0,0,0,100,1,37
591855420,0,0,0,A,0,2/7/2015,42,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,1,0,0,0,0,0,0,31,0,0
615589660,1,0,1,D,3,2/7/2015,58,House,City,Yes,Yes,Yes,High,5,Yes,FB,0,1,0,0,1,0,0,0,99,1,27
637281480,1,0,1,C,2,2/7/2015,56,Apartment,Rural,Yes,No,No,Medium,4,Yes,FB,0,1,0,0,0,0,0,0,0,0,0
640203640,0,0,0,A,0,2/7/2015,69,House,City,Yes,Yes,Yes,Medium,4,No,FB,0,0,1,0,0,0,0,0,0,0,0
689182229,1,1,0,C,2,2/7/2015,35,Apartment,Rural,Yes,No,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,62,0,0
709887448,0,0,0,A,0,2/7/2015,87,House,City,Yes,Yes,Yes,High,4,No,FB,0,1,1,1,1,0,0,0,0,0,0
768420650,0,0,0,A,0,2/7/2015,99,Apartment,City,Yes,No,Yes,Low,0,Yes,FB,1,1,0,0,1,1,2,0,100,1,35
777729275,0,0,0,A,0,2/7/2015,53,Apartment,Rural,Yes,No,No,Low,1,No,NA,0,0,1,0,0,0,0,0,0,0,0
800962571,1,1,0,C,2,2/7/2015,33,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,87,1,13
824180883,0,0,0,A,0,2/7/2015,47,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,0,1,0,0,0,0,0,99,1,29
841019880,1,1,0,B,1,2/7/2015,69,Apartment,City,Yes,No,Yes,Low,0,No,FB,1,0,1,0,0,0,0,0,100,1,34
881200870,1,1,0,B,1,2/7/2015,33,Apartment,City,Yes,Yes,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,0,0,0
919295920,0,0,0,A,0,2/7/2015,13,House,City,Yes,Yes,Yes,Medium,4,No,FB,1,1,0,1,1,1,2,0,100,1,39
926169490,0,0,0,A,0,2/7/2015,12,Apartment,City,Yes,No,Yes,Low,1,No,NA,0,0,1,0,0,0,0,0,92,1,17
979463646,0,0,0,A,0,2/7/2015,68,Apartment,Rural,Yes,No,Yes,Low,0,Yes,FB,0,1,1,0,0,1,1,0,0,0,0
000274062,0,0,0,A,0,2/8/2015,14,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,1,1,1,1,1,1,1,0,100,1,34
001669342,1,1,0,D,3,2/8/2015,87,House,City,Yes,Yes,Yes,High,4,No,FB,0,0,1,0,0,0,0,0,0,0,0
002662710,0,0,0,A,0,2/8/2015,75,House,City,Yes,Yes,Yes,Medium,4,No,FB,1,1,1,1,1,0,0,0,100,1,34
005575013,1,0,1,C,2,2/8/2015,87,Apartment,Rural,Yes,No,Yes,Medium,4,No,FB,0,0,1,0,0,0,0,0,0,0,0
107146932,0,0,0,A,0,2/8/2015,13,Apartment,City,Yes,No,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,93,1,17
116942879,0,0,0,A,0,2/8/2015,57,Apartment,Rural,Yes,No,Yes,Low,0,Yes,FB,1,1,0,0,1,1,3,0,100,1,33
147435790,1,0,1,D,3,2/8/2015,17,House,City,Yes,Yes,Yes,High,5,Yes,FB,0,1,0,0,0,0,0,0,0,0,0
213647230,1,1,0,B,1,2/8/2015,42,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,0,1,0,0,0,0,0,97,1,23
216071090,0,0,0,A,0,2/8/2015,37,Apartment,City,Yes,Yes,Yes,Medium,4,Yes,FB,1,1,0,0,1,1,3,0,100,1,38
261475520,0,0,0,A,0,2/8/2015,33,Apartment,Rural,No,No,No,Low,0,Yes,FB,0,1,0,0,0,1,3,0,0,0,0
273903870,1,1,0,B,1,2/8/2015,32,Apartment,Rural,Yes,No,No,Low,0,Yes,FB,0,1,1,1,1,1,1,0,94,1,18
292482060,0,0,0,A,0,2/8/2015,68,House,City,Yes,Yes,Yes,Medium,4,No,FB,0,0,1,0,0,0,0,0,94,1,18
343911220,0,0,0,A,0,2/8/2015,31,Apartment,City,Yes,No,Yes,Medium,4,Yes,FB,1,1,1,1,1,0,0,0,100,1,32
347803000,1,0,1,D,3,2/8/2015,17,House,City,Yes,Yes,Yes,High,5,Yes,FB,0,1,1,1,1,0,0,0,88,1,14
421455780,1,1,0,B,1,2/8/2015,59,Apartment,City,Yes,No,Yes,Low,0,Yes,FB,1,1,0,0,1,1,2,0,99,1,30
441789089,1,0,1,C,2,2/8/2015,14,House,City,Yes,Yes,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,50,0,0
442802004,1,0,1,B,1,2/8/2015,15,Apartment,City,Yes,No,Yes,Low,0,Yes,FB,0,1,1,1,1,0,0,0,0,0,0
457718549,0,0,0,A,0,2/8/2015,73,Apartment,City,Yes,Yes,Yes,Low,1,No,NA,0,1,0,0,0,0,0,0,80,0,0
492366480,0,0,0,A,0,2/8/2015,80,Apartment,Rural,Yes,No,Yes,Low,0,Yes,FB,0,1,1,1,1,0,0,0,99,1,27
612331000,1,0,1,C,2,2/8/2015,83,Apartment,Rural,Yes,No,Yes,Medium,4,Yes,LI,0,1,0,0,0,1,3,0,0,0,0
641667370,1,1,0,B,1,2/8/2015,53,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,1,1,1,1,0,0,0,87,1,14
